,plot_id,value,first_date,last_date,total_area,credits_all,eco_id_list,eco_id,area_certifier,proportion_certified,credits_certified,credits_imrv
0,1,gold,2014-05-31,2023-12-31,30.813824459650764,602.9238310044442,"[53, 79, 87, 441, 792, 915, 1099, 1100, 1104, 1107, 1213, 1463, 2258, 2292, 2307, 2325, 2346, 2385, 2402, 2892, 2931, 2934, 3532, 3536, 3601, 3957, 5196, 5275, 6853, 6868, 7144, 7205, 7375, 7380, 7417, 8208, 8414, 8444, 8915, 9023, 9197, 9330, 9338, 9344, 10149, 10380, 11118, 11369, 11505, 11512, 11513, 11514, 11515, 11516, 11517, 11519, 11575, 11576, 11583, 11593, 11599, 11601, 11604, 11612, 11613, 11622, 11765, 11890, 11892, 11893, 11898, 12003, 12006, 12039, 12053, 12118, 12201, 12244]","53, 79, 87, 441, 792, 915, 1099, 1100, 1104, 1107, 1213, 1463, 2258, 2292, 2307, 2325, 2346, 2385, 2402, 2892, 2931, 2934, 3532, 3536, 3601, 3957, 5196, 5275, 6853, 6868, 7144, 7205, 7375, 7380, 7417, 8208, 8414, 8444, 8915, 9023, 9197, 9330, 9338, 9344, 10149, 10380, 11118, 11369, 11505, 11512, 11513, 11514, 11515, 11516, 11517, 11519, 11575, 11576, 11583, 11593, 11599, 11601, 11604, 11612, 11613, 11622, 11765, 11890, 11892, 11893, 11898, 12003, 12006, 12039, 12053, 12118, 12201, 12244",30.0,0.97358898241546,586.9999991016476,15.923831902796604
1,2,platinum,2014-02-28,2023-12-31,44.09564001333646,1022.196696031223,"[53, 64, 69, 72, 74, 79, 80, 87, 414, 415, 426, 441, 792, 807, 915, 1099, 1104, 1213, 1463, 2258, 2292, 2307, 2325, 2346, 2385, 2402, 2715, 2892, 2931, 2934, 3532, 3536, 3601, 3957, 3990, 3991, 5196, 7144, 7375, 7380, 7417, 8208, 8293, 8414, 8444, 8915, 9023, 9197, 9330, 9338, 9344, 10149, 10380, 10756, 11118, 11369, 11505, 11512, 11513, 11514, 11515, 11516, 11517, 11519, 11545, 11549, 11564, 11570, 11573, 11574, 11575, 11576, 11583, 11593, 11599, 11601, 11604, 11612, 11613, 11622, 11765, 11890, 11892, 11893, 11898, 11905, 11906, 11907, 12003, 12006, 12039, 12053, 12118, 12201, 12244]","53, 64, 69, 72, 74, 79, 80, 87, 414, 415, 426, 441, 792, 807, 915, 1099, 1104, 1213, 1463, 2258, 2292, 2307, 2325, 2346, 2385, 2402, 2715, 2892, 2931, 2934, 3532, 3536, 3601, 3957, 3990, 3991, 5196, 7144, 7375, 7380, 7417, 8208, 8293, 8414, 8444, 8915, 9023, 9197, 9330, 9338, 9344, 10149, 10380, 10756, 11118, 11369, 11505, 11512, 11513, 11514, 11515, 11516, 11517, 11519, 11545, 11549, 11564, 11570, 11573, 11574, 11575, 11576, 11583, 11593, 11599, 11601, 11604, 11612, 11613, 11622, 11765, 11890, 11892, 11893, 11898, 11905, 11906, 11907, 12003, 12006, 12039, 12053, 12118, 12201, 12244",45.0,1.0,1022.196696031223,0.0
2,3,platinum,2014-02-28,2023-12-31,64.8340503035489,1488.983773736201,"[53, 69, 72, 74, 79, 80, 87, 414, 415, 426, 441, 792, 807, 915, 1099, 1104, 1213, 1463, 2258, 2292, 2307, 2325, 2346, 2385, 2402, 2715, 2810, 2892, 2931, 2934, 3532, 3536, 3601, 3957, 3990, 3991, 5196, 7144, 7375, 7380, 7417, 8208, 8293, 8414, 8444, 8915, 9023, 9197, 9330, 9338, 9344, 10149, 10380, 10756, 11118, 11369, 11505, 11512, 11513, 11514, 11515, 11516, 11517, 11519, 11545, 11549, 11564, 11570, 11573, 11574, 11575, 11576, 11583, 11593, 11599, 11601, 11604, 11612, 11613, 11622, 11765, 11890, 11892, 11893, 11898, 11905, 11906, 11907, 12003, 12006, 12039, 12053, 12118, 12201, 12244]","53, 69, 72, 74, 79, 80, 87, 414, 415, 426, 441, 792, 807, 915, 1099, 1104, 1213, 1463, 2258, 2292, 2307, 2325, 2346, 2385, 2402, 2715, 2810, 2892, 2931, 2934, 3532, 3536, 3601, 3957, 3990, 3991, 5196, 7144, 7375, 7380, 7417, 8208, 8293, 8414, 8444, 8915, 9023, 9197, 9330, 9338, 9344, 10149, 10380, 10756, 11118, 11369, 11505, 11512, 11513, 11514, 11515, 11516, 11517, 11519, 11545, 11549, 11564, 11570, 11573, 11574, 11575, 11576, 11583, 11593, 11599, 11601, 11604, 11612, 11613, 11622, 11765, 11890, 11892, 11893, 11898, 11905, 11906, 11907, 12003, 12006, 12039, 12053, 12118, 12201, 12244",46.5,0.7172157189361139,1067.9225677644174,421.06120597178364
3,4,platinum,2014-02-28,2023-12-31,50.52396683825766,1208.40636363886,"[53, 69, 72, 74, 79, 80, 87, 414, 415, 426, 441, 792, 807, 1099, 1104, 1213, 1463, 2258, 2292, 2307, 2325, 2346, 2385, 2402, 2715, 2892, 2931, 2934, 3532, 3536, 3601, 3957, 3990, 3991, 5196, 7144, 7375, 7380, 7417, 8208, 8293, 8414, 8444, 8915, 9023, 9197, 9330, 9338, 9344, 10149, 10380, 10756, 11118, 11369, 11505, 11512, 11513, 11514, 11515, 11516, 11517, 11519, 11545, 11549, 11564, 11570, 11571, 11573, 11574, 11575, 11576, 11583, 11593, 11599, 11601, 11604, 11612, 11613, 11622, 11765, 11890, 11892, 11893, 11898, 11905, 11906, 11907, 12003, 12006, 12039, 12053, 12118, 12201, 12244]","53, 69, 72, 74, 79, 80, 87, 414, 415, 426, 441, 792, 807, 1099, 1104, 1213, 1463, 2258, 2292, 2307, 2325, 2346, 2385, 2402, 2715, 2892, 2931, 2934, 3532, 3536, 3601, 3957, 3990, 3991, 5196, 7144, 7375, 7380, 7417, 8208, 8293, 8414, 8444, 8915, 9023, 9197, 9330, 9338, 9344, 10149, 10380, 10756, 11118, 11369, 11505, 11512, 11513, 11514, 11515, 11516, 11517, 11519, 11545, 11549, 11564, 11570, 11571, 11573, 11574, 11575, 11576, 11583, 11593, 11599, 11601, 11604, 11612, 11613, 11622, 11765, 11890, 11892, 11893, 11898, 11905, 11906, 11907, 12003, 12006, 12039, 12053, 12118, 12201, 12244",45.0,0.8906664067779648,1076.2869538298503,132.11940980900985
4,5,platinum,2014-05-31,2023-12-31,67.03459683076471,1323.0188673270866,"[21, 53, 79, 87, 441, 792, 807, 915, 1099, 1104, 1213, 1463, 2258, 2292, 2307, 2325, 2346, 2385, 2402, 2715, 2892, 2931, 2934, 3532, 3536, 3601, 3957, 5196, 6853, 6868, 7144, 7205, 7375, 7380, 7417, 8208, 8414, 8444, 8915, 9023, 9197, 9330, 9338, 9344, 10149, 10380, 11118, 11369, 11505, 11512, 11513, 11514, 11515, 11516, 11517, 11519, 11575, 11576, 11583, 11593, 11599, 11601, 11604, 11612, 11613, 11622, 11765, 11890, 11892, 11893, 11898, 12003, 12006, 12039, 12053, 12118, 12201, 12244]","21, 53, 79, 87, 441, 792, 807, 915, 1099, 1104, 1213, 1463, 2258, 2292, 2307, 2325, 2346, 2385, 2402, 2715, 2892, 2931, 2934, 3532, 3536, 3601, 3957, 5196, 6853, 6868, 7144, 7205, 7375, 7380, 7417, 8208, 8414, 8444, 8915, 9023, 9197, 9330, 9338, 9344, 10149, 10380, 11118, 11369, 11505, 11512, 11513, 11514, 11515, 11516, 11517, 11519, 11575, 11576, 11583, 11593, 11599, 11601, 11604, 11612, 11613, 11622, 11765, 11890, 11892, 11893, 11898, 12003, 12006, 12039, 12053, 12118, 12201, 12244",43.94,0.6554824236644662,867.2156137093756,455.80325361771105
5,6,platinum,2014-03-31,2023-12-31,14.778504870113936,333.14210457334923,"[53, 69, 74, 79, 87, 414, 415, 426, 441, 792, 807, 915, 1099, 1104, 1213, 1463, 2258, 2292, 2307, 2325, 2346, 2385, 2402, 2715, 2892, 2931, 2934, 3532, 3536, 3601, 3957, 3990, 3991, 5196, 6853, 6868, 7144, 7205, 7375, 7380, 7417, 8208, 8293, 8414, 8444, 8915, 9023, 9197, 9330, 9338, 9344, 10149, 10380, 10756, 11118, 11369, 11505, 11512, 11513, 11514, 11515, 11516, 11517, 11519, 11545, 11549, 11574, 11575, 11576, 11583, 11593, 11599, 11601, 11604, 11612, 11613, 11622, 11765, 11890, 11892, 11893, 11898, 11905, 11906, 12003, 12006, 12039, 12053, 12118, 12201, 12244]","53, 69, 74, 79, 87, 414, 415, 426, 441, 792, 807, 915, 1099, 1104, 1213, 1463, 2258, 2292, 2307, 2325, 2346, 2385, 2402, 2715, 2892, 2931, 2934, 3532, 3536, 3601, 3957, 3990, 3991, 5196, 6853, 6868, 7144, 7205, 7375, 7380, 7417, 8208, 8293, 8414, 8444, 8915, 9023, 9197, 9330, 9338, 9344, 10149, 10380, 10756, 11118, 11369, 11505, 11512, 11513, 11514, 11515, 11516, 11517, 11519, 11545, 11549, 11574, 11575, 11576, 11583, 11593, 11599, 11601, 11604, 11612, 11613, 11622, 11765, 11890, 11892, 11893, 11898, 11905, 11906, 12003, 12006, 12039, 12053, 12118, 12201, 12244",6.0,0.405995061931711,135.25404937831746,197.88805519503177
6,8,platinum,2014-05-31,2023-12-31,66.82533540251976,1442.0515270835842,"[53, 69, 79, 80, 87, 414, 415, 426, 441, 703, 792, 807, 815, 915, 1037, 1099, 1104, 1213, 1463, 2258, 2292, 2307, 2325, 2346, 2385, 2402, 2715, 2892, 2931, 2934, 3532, 3536, 3601, 3957, 3990, 3991, 5196, 6853, 6868, 7144, 7205, 7375, 7380, 7417, 8208, 8293, 8414, 8444, 8915, 9023, 9197, 9330, 9338, 9344, 10149, 10380, 10756, 11118, 11369, 11505, 11512, 11513, 11514, 11515, 11516, 11517, 11519, 11545, 11549, 11564, 11570, 11573, 11574, 11575, 11576, 11583, 11593, 11599, 11601, 11604, 11612, 11613, 11622, 11765, 11890, 11892, 11893, 11898, 11905, 11906, 11907, 12003, 12006, 12039, 12053, 12118, 12201, 12244]","53, 69, 79, 80, 87, 414, 415, 426, 441, 703, 792, 807, 815, 915, 1037, 1099, 1104, 1213, 1463, 2258, 2292, 2307, 2325, 2346, 2385, 2402, 2715, 2892, 2931, 2934, 3532, 3536, 3601, 3957, 3990, 3991, 5196, 6853, 6868, 7144, 7205, 7375, 7380, 7417, 8208, 8293, 8414, 8444, 8915, 9023, 9197, 9330, 9338, 9344, 10149, 10380, 10756, 11118, 11369, 11505, 11512, 11513, 11514, 11515, 11516, 11517, 11519, 11545, 11549, 11564, 11570, 11573, 11574, 11575, 11576, 11583, 11593, 11599, 11601, 11604, 11612, 11613, 11622, 11765, 11890, 11892, 11893, 11898, 11905, 11906, 11907, 12003, 12006, 12039, 12053, 12118, 12201, 12244",64.4,0.9637063489781108,1389.7142122040302,52.337314879554
7,9,platinum,2014-05-31,2023-12-31,10.096988084830922,23.724021537528095,"[53, 79, 87, 441, 792, 915, 1099, 1104, 1107, 1213, 1463, 2258, 2292, 2307, 2325, 2346, 2385, 2402, 2892, 2931, 2934, 3532, 3536, 3601, 3957, 5196, 6853, 6868, 7144, 7205, 7375, 7380, 7417, 8208, 8414, 8444, 8915, 9023, 9197, 9330, 9338, 9344, 10149, 10380, 11118, 11369, 11505, 11512, 11513, 11514, 11515, 11516, 11517, 11519, 11575, 11576, 11583, 11593, 11599, 11601, 11604, 11612, 11613, 11622, 11765, 11890, 11892, 11893, 11898, 12003, 12006, 12039, 12053, 12118, 12201, 12244]","53, 79, 87, 441, 792, 915, 1099, 1104, 1107, 1213, 1463, 2258, 2292, 2307, 2325, 2346, 2385, 2402, 2892, 2931, 2934, 3532, 3536, 3601, 3957, 5196, 6853, 6868, 7144, 7205, 7375, 7380, 7417, 8208, 8414, 8444, 8915, 9023, 9197, 9330, 9338, 9344, 10149, 10380, 11118, 11369, 11505, 11512, 11513, 11514, 11515, 11516, 11517, 11519, 11575, 11576, 11583, 11593, 11599, 11601, 11604, 11612, 11613, 11622, 11765, 11890, 11892, 11893, 11898, 12003, 12006, 12039, 12053, 12118, 12201, 12244",10.0,0.9903943548297703,23.496137004627712,0.2278845329003812
8,9,gold,2014-05-31,2023-12-31,10.096988084830922,173.84034572327292,"[53, 79, 87, 441, 792, 915, 1099, 1100, 1104, 1107, 1213, 1463, 2258, 2292, 2307, 2325, 2346, 2385, 2402, 2892, 2931, 2934, 3532, 3536, 3601, 3957, 5196, 6853, 6868, 7144, 7205, 7375, 7380, 7417, 8208, 8414, 8444, 8915, 9023, 9197, 9330, 9338, 9344, 10149, 10380, 11118, 11369, 11505, 11512, 11513, 11514, 11515, 11516, 11517, 11519, 11575, 11576, 11583, 11593, 11599, 11601, 11604, 11612, 11613, 11622, 11765, 11890, 11892, 11893, 11898, 12003, 12006, 12039, 12053, 12118, 12201, 12244]","53, 79, 87, 441, 792, 915, 1099, 1100, 1104, 1107, 1213, 1463, 2258, 2292, 2307, 2325, 2346, 2385, 2402, 2892, 2931, 2934, 3532, 3536, 3601, 3957, 5196, 6853, 6868, 7144, 7205, 7375, 7380, 7417, 8208, 8414, 8444, 8915, 9023, 9197, 9330, 9338, 9344, 10149, 10380, 11118, 11369, 11505, 11512, 11513, 11514, 11515, 11516, 11517, 11519, 11575, 11576, 11583, 11593, 11599, 11601, 11604, 11612, 11613, 11622, 11765, 11890, 11892, 11893, 11898, 12003, 12006, 12039, 12053, 12118, 12201, 12244",10.0,0.9903943548297703,172.17049704598512,1.6698486772878107
9,10,platinum,2014-03-31,2023-12-31,79.31154586891465,1742.0681595417961,"[53, 74, 79, 87, 441, 792, 807, 1213, 1463, 2258, 2292, 2307, 2325, 2346, 2385, 2402, 2715, 2892, 2931, 2934, 3532, 3536, 3601, 3957, 5196, 7375, 7380, 7417, 8208, 8414, 8444, 8915, 9023, 9197, 9330, 9338, 9344, 10149, 10380, 10756, 11118, 11369, 11505, 11512, 11513, 11514, 11515, 11516, 11517, 11519, 11545, 11549, 11571, 11574, 11575, 11576, 11583, 11593, 11599, 11601, 11604, 11612, 11613, 11622, 11765, 11890, 11892, 11893, 11898, 12003, 12006, 12039, 12053, 12118, 12201, 12244]","53, 74, 79, 87, 441, 792, 807, 1213, 1463, 2258, 2292, 2307, 2325, 2346, 2385, 2402, 2715, 2892, 2931, 2934, 3532, 3536, 3601, 3957, 5196, 7375, 7380, 7417, 8208, 8414, 8444, 8915, 9023, 9197, 9330, 9338, 9344, 10149, 10380, 10756, 11118, 11369, 11505, 11512, 11513, 11514, 11515, 11516, 11517, 11519, 11545, 11549, 11571, 11574, 11575, 11576, 11583, 11593, 11599, 11601, 11604, 11612, 11613, 11622, 11765, 11890, 11892, 11893, 11898, 12003, 12006, 12039, 12053, 12118, 12201, 12244",45.0,0.5673827121510853,988.4193571128739,753.6488024289223
10,11,platinum,2014-02-28,2023-12-31,44.11351895965784,1055.8122534267932,"[53, 69, 72, 74, 79, 80, 87, 414, 415, 426, 441, 792, 807, 915, 1213, 1463, 2258, 2292, 2307, 2325, 2346, 2385, 2402, 2563, 2565, 2715, 2892, 2931, 2934, 3532, 3536, 3601, 3957, 3990, 3991, 5196, 5720, 7144, 7375, 7380, 7417, 8208, 8293, 8414, 8444, 8915, 9023, 9197, 9330, 9338, 9344, 10149, 10380, 10756, 11118, 11369, 11505, 11512, 11513, 11514, 11515, 11516, 11517, 11519, 11545, 11549, 11564, 11570, 11571, 11573, 11574, 11575, 11576, 11583, 11593, 11599, 11601, 11604, 11612, 11613, 11622, 11765, 11890, 11892, 11893, 11898, 11905, 11906, 11907, 12003, 12006, 12039, 12053, 12118, 12201, 12244]","53, 69, 72, 74, 79, 80, 87, 414, 415, 426, 441, 792, 807, 915, 1213, 1463, 2258, 2292, 2307, 2325, 2346, 2385, 2402, 2563, 2565, 2715, 2892, 2931, 2934, 3532, 3536, 3601, 3957, 3990, 3991, 5196, 5720, 7144, 7375, 7380, 7417, 8208, 8293, 8414, 8444, 8915, 9023, 9197, 9330, 9338, 9344, 10149, 10380, 10756, 11118, 11369, 11505, 11512, 11513, 11514, 11515, 11516, 11517, 11519, 11545, 11549, 11564, 11570, 11571, 11573, 11574, 11575, 11576, 11583, 11593, 11599, 11601, 11604, 11612, 11613, 11622, 11765, 11890, 11892, 11893, 11898, 11905, 11906, 11907, 12003, 12006, 12039, 12053, 12118, 12201, 12244",44.3,1.0,1055.8122534267932,0.0
11,12,platinum,2014-02-28,2023-12-31,46.54923815404714,1048.15772984149,"[53, 69, 72, 74, 79, 80, 87, 414, 415, 426, 441, 792, 807, 915, 1213, 1463, 2258, 2292, 2307, 2325, 2346, 2385, 2402, 2715, 2892, 2931, 2934, 3532, 3536, 3601, 3957, 3990, 3991, 5196, 7144, 7375, 7380, 7417, 8208, 8293, 8414, 8444, 8915, 9023, 9197, 9330, 9338, 9344, 10149, 10380, 10756, 11118, 11369, 11505, 11512, 11513, 11514, 11515, 11516, 11517, 11519, 11545, 11549, 11564, 11570, 11573, 11574, 11575, 11576, 11583, 11593, 11599, 11601, 11604, 11612, 11613, 11622, 11765, 11890, 11892, 11893, 11898, 11905, 11906, 11907, 12003, 12006, 12039, 12053, 12118, 12201, 12244]","53, 69, 72, 74, 79, 80, 87, 414, 415, 426, 441, 792, 807, 915, 1213, 1463, 2258, 2292, 2307, 2325, 2346, 2385, 2402, 2715, 2892, 2931, 2934, 3532, 3536, 3601, 3957, 3990, 3991, 5196, 7144, 7375, 7380, 7417, 8208, 8293, 8414, 8444, 8915, 9023, 9197, 9330, 9338, 9344, 10149, 10380, 10756, 11118, 11369, 11505, 11512, 11513, 11514, 11515, 11516, 11517, 11519, 11545, 11549, 11564, 11570, 11573, 11574, 11575, 11576, 11583, 11593, 11599, 11601, 11604, 11612, 11613, 11622, 11765, 11890, 11892, 11893, 11898, 11905, 11906, 11907, 12003, 12006, 12039, 12053, 12118, 12201, 12244",44.9,0.9645700290821247,1011.0215319558598,37.13619788563014
12,18,platinum,2014-02-28,2023-12-31,142.03420120698848,3320.8666815914116,"[53, 64, 69, 72, 74, 79, 80, 87, 414, 415, 426, 441, 792, 807, 915, 1099, 1104, 1213, 1463, 2258, 2292, 2307, 2325, 2346, 2385, 2402, 2525, 2715, 2892, 2931, 2934, 3532, 3536, 3601, 3957, 3990, 3991, 5196, 5711, 7144, 7375, 7380, 7417, 8208, 8293, 8414, 8444, 8915, 9023, 9197, 9330, 9338, 9344, 10149, 10380, 10756, 11118, 11369, 11505, 11512, 11513, 11514, 11515, 11516, 11517, 11519, 11545, 11549, 11564, 11570, 11571, 11573, 11574, 11575, 11576, 11583, 11593, 11599, 11601, 11604, 11612, 11613, 11622, 11765, 11890, 11892, 11893, 11898, 11905, 11906, 11907, 12003, 12006, 12039, 12053, 12118, 12201, 12244]","53, 64, 69, 72, 74, 79, 80, 87, 414, 415, 426, 441, 792, 807, 915, 1099, 1104, 1213, 1463, 2258, 2292, 2307, 2325, 2346, 2385, 2402, 2525, 2715, 2892, 2931, 2934, 3532, 3536, 3601, 3957, 3990, 3991, 5196, 5711, 7144, 7375, 7380, 7417, 8208, 8293, 8414, 8444, 8915, 9023, 9197, 9330, 9338, 9344, 10149, 10380, 10756, 11118, 11369, 11505, 11512, 11513, 11514, 11515, 11516, 11517, 11519, 11545, 11549, 11564, 11570, 11571, 11573, 11574, 11575, 11576, 11583, 11593, 11599, 11601, 11604, 11612, 11613, 11622, 11765, 11890, 11892, 11893, 11898, 11905, 11906, 11907, 12003, 12006, 12039, 12053, 12118, 12201, 12244",25.0,0.17601394444122045,584.5188435903309,2736.347838001081
13,20,platinum,2014-02-28,2023-12-31,41.820421668072065,960.468192201879,"[53, 72, 74, 79, 87, 441, 792, 807, 1213, 1463, 2258, 2292, 2307, 2325, 2346, 2385, 2402, 2563, 2565, 2715, 2892, 2931, 2934, 3532, 3536, 3601, 3957, 5196, 5720, 7375, 7380, 7417, 8208, 8414, 8444, 8915, 9023, 9197, 9330, 9338, 9344, 10149, 10380, 10756, 11118, 11369, 11505, 11512, 11513, 11514, 11515, 11516, 11517, 11519, 11545, 11549, 11571, 11574, 11575, 11576, 11583, 11593, 11599, 11601, 11604, 11612, 11613, 11622, 11765, 11890, 11892, 11893, 11898, 12003, 12006, 12039, 12053, 12118, 12201, 12244]","53, 72, 74, 79, 87, 441, 792, 807, 1213, 1463, 2258, 2292, 2307, 2325, 2346, 2385, 2402, 2563, 2565, 2715, 2892, 2931, 2934, 3532, 3536, 3601, 3957, 5196, 5720, 7375, 7380, 7417, 8208, 8414, 8444, 8915, 9023, 9197, 9330, 9338, 9344, 10149, 10380, 10756, 11118, 11369, 11505, 11512, 11513, 11514, 11515, 11516, 11517, 11519, 11545, 11549, 11571, 11574, 11575, 11576, 11583, 11593, 11599, 11601, 11604, 11612, 11613, 11622, 11765, 11890, 11892, 11893, 11898, 12003, 12006, 12039, 12053, 12118, 12201, 12244",44.7,1.0,960.468192201879,0.0
14,23,platinum,2014-03-31,2023-12-31,44.55856570839401,978.3444551037343,"[53, 69, 74, 79, 87, 414, 415, 426, 441, 792, 807, 915, 1099, 1104, 1213, 1463, 2258, 2292, 2307, 2325, 2346, 2385, 2402, 2715, 2892, 2931, 2934, 3532, 3536, 3601, 3957, 3990, 3991, 5196, 6853, 6868, 7144, 7205, 7375, 7380, 7417, 8208, 8293, 8414, 8444, 8915, 9023, 9197, 9330, 9338, 9344, 10149, 10380, 10756, 11118, 11369, 11505, 11512, 11513, 11514, 11515, 11516, 11517, 11519, 11545, 11549, 11574, 11575, 11576, 11583, 11593, 11599, 11601, 11604, 11612, 11613, 11622, 11765, 11890, 11892, 11893, 11898, 11905, 11906, 12003, 12006, 12039, 12053, 12118, 12201, 12244]","53, 69, 74, 79, 87, 414, 415, 426, 441, 792, 807, 915, 1099, 1104, 1213, 1463, 2258, 2292, 2307, 2325, 2346, 2385, 2402, 2715, 2892, 2931, 2934, 3532, 3536, 3601, 3957, 3990, 3991, 5196, 6853, 6868, 7144, 7205, 7375, 7380, 7417, 8208, 8293, 8414, 8444, 8915, 9023, 9197, 9330, 9338, 9344, 10149, 10380, 10756, 11118, 11369, 11505, 11512, 11513, 11514, 11515, 11516, 11517, 11519, 11545, 11549, 11574, 11575, 11576, 11583, 11593, 11599, 11601, 11604, 11612, 11613, 11622, 11765, 11890, 11892, 11893, 11898, 11905, 11906, 12003, 12006, 12039, 12053, 12118, 12201, 12244",0.0,0.0,0.0,978.3444551037343
15,28,platinum,2014-05-31,2023-12-31,53.3086464109782,1043.072513251018,"[53, 79, 87, 441, 792, 807, 915, 1099, 1104, 1213, 1463, 2258, 2292, 2307, 2325, 2346, 2385, 2402, 2715, 2892, 2931, 2934, 3532, 3536, 3601, 3957, 5196, 7144, 7375, 7380, 7417, 8208, 8414, 8444, 8915, 9023, 9197, 9330, 9338, 9344, 10149, 10380, 11118, 11369, 11505, 11512, 11513, 11514, 11515, 11516, 11517, 11519, 11575, 11576, 11583, 11593, 11599, 11601, 11604, 11612, 11613, 11622, 11765, 11890, 11892, 11893, 11898, 12003, 12006, 12039, 12053, 12118, 12201, 12244]","53, 79, 87, 441, 792, 807, 915, 1099, 1104, 1213, 1463, 2258, 2292, 2307, 2325, 2346, 2385, 2402, 2715, 2892, 2931, 2934, 3532, 3536, 3601, 3957, 5196, 7144, 7375, 7380, 7417, 8208, 8414, 8444, 8915, 9023, 9197, 9330, 9338, 9344, 10149, 10380, 11118, 11369, 11505, 11512, 11513, 11514, 11515, 11516, 11517, 11519, 11575, 11576, 11583, 11593, 11599, 11601, 11604, 11612, 11613, 11622, 11765, 11890, 11892, 11893, 11898, 12003, 12006, 12039, 12053, 12118, 12201, 12244",44.9,0.8422648673884439,878.5433320498996,164.5291812011185
16,29,platinum,2014-02-28,2023-12-31,43.99720409210636,945.2326057868285,"[53, 64, 69, 72, 74, 79, 80, 87, 414, 415, 426, 441, 792, 807, 915, 1099, 1104, 1213, 1463, 2258, 2292, 2307, 2325, 2346, 2385, 2402, 2715, 2892, 2931, 2934, 3532, 3536, 3601, 3957, 3990, 3991, 5101, 5196, 7144, 7375, 7380, 7417, 8208, 8293, 8414, 8444, 8915, 9023, 9197, 9330, 9338, 9344, 10149, 10380, 10756, 11118, 11369, 11505, 11512, 11513, 11514, 11515, 11516, 11517, 11519, 11545, 11549, 11564, 11570, 11573, 11574, 11575, 11576, 11583, 11593, 11599, 11601, 11604, 11612, 11613, 11622, 11765, 11890, 11892, 11893, 11898, 11905, 11906, 11907, 12003, 12006, 12039, 12053, 12118, 12201, 12244]","53, 64, 69, 72, 74, 79, 80, 87, 414, 415, 426, 441, 792, 807, 915, 1099, 1104, 1213, 1463, 2258, 2292, 2307, 2325, 2346, 2385, 2402, 2715, 2892, 2931, 2934, 3532, 3536, 3601, 3957, 3990, 3991, 5101, 5196, 7144, 7375, 7380, 7417, 8208, 8293, 8414, 8444, 8915, 9023, 9197, 9330, 9338, 9344, 10149, 10380, 10756, 11118, 11369, 11505, 11512, 11513, 11514, 11515, 11516, 11517, 11519, 11545, 11549, 11564, 11570, 11573, 11574, 11575, 11576, 11583, 11593, 11599, 11601, 11604, 11612, 11613, 11622, 11765, 11890, 11892, 11893, 11898, 11905, 11906, 11907, 12003, 12006, 12039, 12053, 12118, 12201, 12244",44.9,1.0,945.2326057868285,0.0
